CustomerID,Recency,Frequency,Monetary,Cluster,DBSCAN_Cluster
1000,8,11,1651450.0,1,0
1001,3,6,747429.0,1,0
1002,20,4,36524.0,0,0
1003,7,8,1698123.75,1,0
1004,5,9,641257.628076,1,0
1005,7,4,112900.0,0,0
1006,12,7,254688.4,1,0
1007,14,7,1060156.0,1,0
1008,4,8,20079858.7,2,-1
1009,10,5,77789.09,0,0
1010,24,5,3086640.0,0,0
1011,11,11,2521729.5,1,0
1012,5,6,270470.0,1,0
1013,3,10,1063116.0,1,0
1014,4,8,1422737.5,1,0
1015,11,3,5416008.0,0,0
1016,7,7,3121754.0,1,0
1017,7,3,21090.0,0,0
1018,12,4,87330.0,0,0
1019,7,7,1308415.0,1,0
1020,1,4,438435.0,1,0
1021,1,6,1928030.25,1,0
1022,10,5,5663393.03,0,0
1023,54,2,43050.0,0,-1
1024,12,9,272407.0,1,0
1025,7,6,5622050.0,1,0
1026,6,5,5562805.0,1,0
1027,5,6,4895770.0,1,0
1028,5,8,5218342.5,1,0
1029,18,1,8508.0,0,0
1030,21,2,59988.0,0,0
1031,27,2,142650.0,0,0
1032,5,4,873745.0,0,0
1033,15,6,521258.0,0,0
1034,3,8,527597.5,1,0
1035,5,6,1098524.0,1,0
1036,6,6,1529823.0,1,0
1037,6,6,422412.25,1,0
1038,6,14,3380417.16188,1,-1
1039,21,7,289846.0,0,0
1040,4,7,614260.0,1,0
1041,5,7,4310200.0,1,0
1042,11,2,13475.0,0,0
1043,4,6,76090104.0,2,-1
1044,5,3,1764602.5,0,0
1045,7,7,86064.0,1,0
1046,8,8,3111862.5,1,0
1047,5,3,50140.0,0,0
1048,2,4,13162834.0,2,-1
1049,3,3,8693.0,0,0
1050,2,8,2203333.0,1,0
1051,5,4,54250.0,0,0
1052,3,9,1266032.5,1,0
1053,3,9,353677.5,1,0
1054,3,6,805330.0,1,0
1055,20,3,290065.0,0,0
1056,12,2,113665.0,0,0
1057,7,8,14466788.0,2,-1
1058,2,8,3511820.75,1,0
1059,6,5,4330259.0,1,0
1060,20,5,504690.0,0,0
1061,5,7,173060.0,1,0
1062,4,10,159739.25,1,0
1063,29,3,101005.0,0,0
1064,4,5,113761.15,1,0
1065,5,4,709400.0,0,0
1066,21,3,61290.0,0,0
1067,6,3,2307100.0,0,0
1068,8,8,462883.13,1,0
1069,13,2,127250.0,0,0
1071,1,6,1040250.0,1,0
1072,20,6,12695468.75,2,-1
1073,12,2,8195.0,0,0
1074,6,7,951110.6075,1,0
1075,9,8,179827.0,1,0
1076,43,3,341708.0,0,-1
1077,15,6,160902.0,0,0
1078,48,2,146825.0,0,-1
1079,13,4,237910.0,0,0
1080,3,7,229460.0,1,0
1081,14,6,2847952.0,0,0
1082,15,2,76200.0,0,0
1083,12,8,1008792.0,1,0
1084,15,2,346300.0,0,0
1085,5,7,6124050.0,1,0
1086,27,4,657993.03,0,0
1087,1,3,20241500.0,2,-1
1088,3,8,423808.0,1,0
1089,11,8,9237210.0,1,-1
1090,13,1,45850.0,0,0
1091,3,9,1557261.0,1,0
1092,11,6,1181141.0,1,0
1093,10,3,3423300.1,0,0
1094,7,8,3645439.5,1,0
1095,5,8,1724176.06,1,0
1096,5,4,481203.0,0,0
1097,5,9,5511382.0,1,0
1098,5,11,113509.673,1,0
1099,1,5,92850.0,1,0
1100,5,8,366259.53,1,0
1101,32,4,95840.0,0,0
1102,1,6,13814840.0,2,-1
1103,6,8,2621157.25,1,0
1104,11,4,186846.7,0,0
1105,3,5,3397705.0,1,0
1106,1,4,163023.0,1,0
1107,5,6,607978.0,1,0
1108,12,3,87650.0,0,0
